x_axis,dose,mean,lower,upper
704,2,0.953679772,0.952874983,0.954484562
705,2,0.95368793,0.952882652,0.954493208
706,2,0.953695944,0.952890192,0.954501695
707,2,0.953703795,0.952897586,0.954510004
708,2,0.953711467,0.95290482,0.954518114
709,2,0.953718941,0.952911876,0.954526006
710,2,0.9537262,0.952918739,0.954533661
711,2,0.953733226,0.952925393,0.95454106
712,2,0.953740002,0.952931823,0.954548182
713,2,0.953746511,0.952938012,0.954555011
714,2,0.953752736,0.952943946,0.954561526
715,2,0.953758659,0.952949609,0.954567708
716,2,0.953764264,0.952954986,0.954573541
717,2,0.953769534,0.952960062,0.954579005
718,2,0.953774453,0.952964822,0.954584084
719,2,0.953779004,0.95296925,0.954588758
720,2,0.953783172,0.952973333,0.954593012
721,2,0.953786941,0.952977056,0.954596827
722,2,0.953790296,0.952980404,0.954600188
723,2,0.95379322,0.952983363,0.954603078
724,2,0.953795699,0.952985918,0.95460548
725,2,0.953797719,0.952988057,0.95460738
726,2,0.953799264,0.952989765,0.954608762
727,2,0.95380032,0.952991029,0.954609611
728,2,0.953800873,0.952991834,0.954609912
729,2,0.953800911,0.952992169,0.954609652
730,2,0.953800418,0.952992019,0.954608817
731,2,0.953799383,0.952991372,0.954607393
732,2,0.953797791,0.952990215,0.954605368
733,2,0.953795632,0.952988535,0.954602729
734,2,0.953792893,0.952986321,0.954599464
735,2,0.953789561,0.95298356,0.954595562
736,2,0.953785626,0.95298024,0.954591012
737,2,0.953781077,0.952976349,0.954585804
738,2,0.953775902,0.952971877,0.954579927
739,2,0.953770091,0.952966811,0.954573372
740,2,0.953763635,0.952961141,0.954566129
741,2,0.953756523,0.952954855,0.954558191
742,2,0.953748747,0.952947945,0.954549549
743,2,0.953740297,0.952940398,0.954540196
744,2,0.953731165,0.952932206,0.954530125
745,2,0.953721344,0.952923358,0.95451933
746,2,0.953710824,0.952913845,0.954507804
747,2,0.9536996,0.952903658,0.954495542
748,2,0.953687663,0.952892787,0.954482539
749,2,0.953675008,0.952881225,0.954468791
750,2,0.953661629,0.952868963,0.954454295
751,2,0.953647519,0.952855992,0.954439047
752,2,0.953632675,0.952842306,0.954423043
753,2,0.95361709,0.952827897,0.954406283
754,2,0.953600761,0.952812757,0.954388765
755,2,0.953583683,0.95279688,0.954370486
756,2,0.953565853,0.95278026,0.954351446
757,2,0.953547269,0.952762891,0.954331646
758,2,0.953527927,0.952744767,0.954311086
759,2,0.953507824,0.952725883,0.954289766
760,2,0.95348696,0.952706233,0.954267688
761,2,0.953465334,0.952685814,0.954244854
762,2,0.953442944,0.952664622,0.954221265
763,2,0.953419789,0.952642652,0.954196925
764,2,0.953395869,0.952619901,0.954171837
765,2,0.953371186,0.952596367,0.954146005
766,2,0.95334574,0.952572048,0.954119432
767,2,0.953319532,0.95254694,0.954092123
768,2,0.953292563,0.952521043,0.954064083
769,2,0.953264837,0.952494356,0.954035318
770,2,0.953236356,0.952466879,0.954005833
771,2,0.953207121,0.95243861,0.953975633
772,2,0.953177138,0.952409551,0.953944726
773,2,0.95314641,0.952379702,0.953913118
774,2,0.953114941,0.952349065,0.953880817
775,2,0.953082736,0.952317642,0.953847829
776,2,0.953049799,0.952285436,0.953814163
777,2,0.953016138,0.952252449,0.953779827
778,2,0.952981756,0.952218685,0.953744828
779,2,0.952946661,0.952184147,0.953709175
780,2,0.95291086,0.952148842,0.953672878
781,2,0.952874359,0.952112773,0.953635945
782,2,0.952837166,0.952075948,0.953598385
783,2,0.952799289,0.952038371,0.953560208
784,2,0.952760737,0.952000049,0.953521424
785,2,0.952721517,0.951960992,0.953482042
786,2,0.952681639,0.951921206,0.953442073
787,2,0.952641113,0.951880699,0.953401526
788,2,0.952599947,0.951839482,0.953360412
789,2,0.952558153,0.951797564,0.953318742
790,2,0.952515741,0.951754956,0.953276526
791,2,0.952472721,0.951711667,0.953233775
792,2,0.952429104,0.95166771,0.953190499
793,2,0.952384903,0.951623096,0.95314671
794,2,0.952340129,0.951577839,0.953102419
795,2,0.952294793,0.95153195,0.953057636
796,2,0.952248909,0.951485444,0.953012373
797,2,0.952202489,0.951438335,0.952966642
798,2,0.952155546,0.951390637,0.952920454
799,2,0.952108093,0.951342366,0.95287382
800,2,0.952060144,0.951293536,0.952826752
801,2,0.952011713,0.951244165,0.952779261
802,2,0.951962814,0.951194268,0.95273136
803,2,0.951913461,0.951143863,0.95268306
804,2,0.951863669,0.951092966,0.952634372
805,2,0.951813453,0.951041596,0.95258531
806,2,0.951762827,0.95098977,0.952535885
807,2,0.951711808,0.950937507,0.952486108
808,2,0.951660409,0.950884826,0.952435992
809,2,0.951608648,0.950831747,0.95238555
810,2,0.951556541,0.950778288,0.952334794
811,2,0.951504102,0.950724469,0.952283735
812,2,0.951451349,0.95067031,0.952232387
813,2,0.951398297,0.950615832,0.952180763
814,2,0.951344965,0.950561055,0.952128874
815,2,0.951291367,0.950506,0.952076734
816,2,0.951237521,0.950450687,0.952024354
817,2,0.951183444,0.950395139,0.95197175
818,2,0.951129154,0.950339375,0.951918932
819,2,0.951074667,0.950283418,0.951865915
820,2,0.95102,0.950227288,0.951812712
821,2,0.950965172,0.950171008,0.951759336
822,2,0.950910199,0.950114599,0.9517058
823,2,0.9508551,0.950058082,0.951652118
824,2,0.950799892,0.95000148,0.951598303
825,2,0.950744592,0.949944814,0.95154437
826,2,0.950689219,0.949888105,0.951490333
827,2,0.950633789,0.949831375,0.951436204
828,2,0.950578322,0.949774647,0.951381998
829,2,0.950522835,0.94971794,0.95132773
830,2,0.950467345,0.949661278,0.951273413
831,2,0.950411871,0.949604681,0.951219062
832,2,0.950356431,0.94954817,0.951164692
833,2,0.950301041,0.949491766,0.951110316
834,2,0.950245721,0.949435491,0.951055951
835,2,0.950190487,0.949379365,0.951001609
836,2,0.950135358,0.949323409,0.950947307
837,2,0.950080351,0.949267642,0.95089306
838,2,0.950025484,0.949212086,0.950838881
839,2,0.949970774,0.94915676,0.950784788
840,2,0.949916239,0.949101684,0.950730794
841,2,0.949861896,0.949046877,0.950676915
842,2,0.949807762,0.948992358,0.950623166
843,2,0.949753855,0.948938146,0.950569563
844,2,0.949700191,0.94888426,0.950516122
845,2,0.949646788,0.948830718,0.950462858
846,2,0.949593662,0.948777538,0.950409787
847,2,0.949540831,0.948724737,0.950356924
848,2,0.949488309,0.948672334,0.950304285
