time,group,mean,P2_5,P97_5,P25,P75,day
78,3,7.513102968,6.998384382,8.028260959,7.335348723,7.687409488,1155
79,1,6.193206148,5.207101264,7.181465783,5.849373302,6.53110277,1170
79,2,6.713732108,5.916902168,7.51334094,6.435757888,6.985558819,1170
79,3,7.499504139,6.985717202,8.013729686,7.322071632,7.673495162,1170
80,1,6.181996352,5.197676332,7.168467223,5.838785849,6.519281376,1185
80,2,6.701580153,5.906192487,7.499741681,6.42410907,6.972914854,1185
80,3,7.485929925,6.973072949,7.999224716,7.308818573,7.659606021,1185
81,1,6.170806847,5.188268461,7.15549219,5.828217559,6.50748138,1200
81,2,6.689450192,5.89550219,7.486167037,6.412481336,6.960293773,1200
81,3,7.47238028,6.960451583,7.984745999,7.295589502,7.64574202,1200
82,1,6.159637594,5.178877617,7.142540642,5.817668398,6.495702741,1215
82,2,6.677342188,5.884831243,7.472616962,6.400874649,6.947695538,1215
82,3,7.45885516,6.947853062,7.97029349,7.282384376,7.631903112,1215
83,1,6.148488558,5.169503771,7.129612537,5.807138331,6.483945422,1230
83,2,6.665256098,5.87417961,7.459091414,6.38928897,6.935120105,1230
83,3,7.44535452,6.935277344,7.95586714,7.269203152,7.618089254,1230
84,1,6.137359702,5.160146892,7.116707831,5.796627324,6.472209384,1245
84,2,6.653191885,5.863547258,7.445590347,6.377724262,6.922567434,1245
84,3,7.431878317,6.922724388,7.941466901,7.256045785,7.604300398,1245
85,1,6.126250989,5.150806949,7.103826484,5.786135342,6.460494588,1260
85,2,6.641149509,5.852934149,7.432113717,6.366180486,6.910037483,1260
85,3,7.418426507,6.910194154,7.927092727,7.242912234,7.590536501,1260
86,1,6.115162383,5.141483912,7.090968452,5.775662351,6.448800997,1275
86,2,6.629128929,5.842340251,7.41866148,6.354657604,6.897530212,1275
86,3,7.404999044,6.897686599,7.912744571,7.229802455,7.576797517,1275
87,1,6.104093848,5.132177749,7.078133693,5.765208316,6.43712857,1290
87,2,6.617130106,5.831765528,7.405233592,6.343155579,6.88504558,1290
87,3,7.391595885,6.885201683,7.898422385,7.216716404,7.5630834,1290
88,1,6.093045347,5.122888431,7.065322165,5.754773202,6.425477272,1305
88,2,6.605153002,5.821209945,7.391830009,6.331674372,6.872583544,1305
88,3,7.378216986,6.872739365,7.884126123,7.20365404,7.549394106,1305
89,1,6.082016844,5.113615926,7.052533826,5.744356977,6.413847062,1320
89,2,6.593197576,5.810673468,7.378450686,6.320213947,6.860144065,1320
89,3,7.364862303,6.860299604,7.869855737,7.190615318,7.53572959,1320
90,1,6.071008302,5.104360205,7.039768635,5.733959605,6.402237903,1335
90,2,6.58126379,5.800156062,7.36509558,6.308774265,6.847727102,1335
90,3,7.351531792,6.847882359,7.85561118,7.177600197,7.522089806,1335
91,1,6.060019687,5.095121236,7.027026548,5.723581052,6.390649756,1350
91,2,6.569351604,5.789657693,7.351764647,6.29735529,6.835332614,1350
91,3,7.33822541,6.83548759,7.841392406,7.164608633,7.508474712,1350
92,1,6.04905096,5.085898991,7.014307525,5.713221285,6.379082585,1365
92,2,6.55746098,5.779178326,7.338457843,6.285956982,6.822960559,1365
92,3,7.324943112,6.823115255,7.827199369,7.151640585,7.49488426,1365
93,1,6.038102088,5.076693438,7.001611524,5.702880269,6.36753635,1380
93,2,6.545591877,5.768717927,7.325175125,6.274579306,6.810610899,1380
93,3,7.311684856,6.810765315,7.813032021,7.138696008,7.481318408,1380
94,1,6.027173033,5.067504547,6.988938502,5.692557971,6.356011014,1395
94,2,6.533744258,5.758276462,7.311916448,6.263222224,6.798283591,1395
94,3,7.298450597,6.798437728,7.798890316,7.125774862,7.467777109,1395
