group,time,y_mean,y_lower,y_upper
1,439,1.285861797,1.326068907,1.245044973
1,440,1.280948934,1.321095078,1.240196925
1,441,1.276054841,1.316139906,1.235367755
1,442,1.271179447,1.311203319,1.230557389
1,443,1.26632268,1.306285248,1.225765754
1,444,1.261484469,1.301385624,1.220992777
1,445,1.256664744,1.296504378,1.216238386
1,446,1.251863433,1.29164144,1.211502507
1,447,1.247080466,1.286796742,1.206785069
1,448,1.242315774,1.281970216,1.202086001
1,449,1.237569286,1.277161793,1.19740523
1,450,1.232840933,1.272371405,1.192742685
1,451,1.228130645,1.267598986,1.188098296
1,452,1.223438354,1.262844466,1.183471991
1,453,1.21876399,1.25810778,1.178863701
1,454,1.214107486,1.253388861,1.174273354
1,455,1.209468773,1.248687641,1.169700882
1,456,1.204847783,1.244004055,1.165146215
1,457,1.200244448,1.239338035,1.160609283
1,458,1.195658701,1.234689517,1.156090017
1,459,1.191090474,1.230058435,1.151588349
1,460,1.186539702,1.225444723,1.147104209
1,461,1.182006316,1.220848317,1.14263753
1,462,1.177490251,1.21626915,1.138188244
1,463,1.172991441,1.211707159,1.133756283
1,464,1.168509818,1.207162279,1.129341579
1,465,1.164045319,1.202634447,1.124944066
1,466,1.159597877,1.198123597,1.120563676
1,467,1.155167428,1.193629666,1.116200342
1,468,1.150753906,1.189152592,1.111853999
1,469,1.146357246,1.18469231,1.10752458
1,470,1.141977384,1.180248757,1.10321202
1,471,1.137614257,1.175821872,1.098916251
1,472,1.1332678,1.171411591,1.09463721
1,473,1.128937949,1.167017852,1.090374831
1,474,1.124624641,1.162640593,1.08612905
1,475,1.120327813,1.158279753,1.0818998
1,476,1.116047402,1.153935269,1.077687019
1,477,1.111783344,1.14960708,1.073490642
1,478,1.107535579,1.145295126,1.069310605
1,479,1.103304042,1.140999345,1.065146845
1,480,1.099088673,1.136719676,1.060999298
1,481,1.09488941,1.13245606,1.0568679
1,482,1.09070619,1.128208436,1.05275259
1,483,1.086538954,1.123976744,1.048653305
1,484,1.082387639,1.119760924,1.044569981
1,485,1.078252185,1.115560917,1.040502558
1,486,1.074132531,1.111376663,1.036450972
1,487,1.070028617,1.107208103,1.032415163
1,488,1.065940382,1.103055179,1.028395069
1,489,1.061867768,1.098917832,1.024390629
1,490,1.057810713,1.094796003,1.020401781
1,491,1.05376916,1.090689635,1.016428465
1,492,1.049743048,1.086598668,1.012470621
1,493,1.045732318,1.082523046,1.008528189
1,494,1.041736912,1.078462711,1.004601107
1,495,1.037756771,1.074417606,1.000689318
1,496,1.033791837,1.070387672,0.99679276
1,497,1.029842052,1.066372855,0.992911375
1,498,1.025907357,1.062373096,0.989045103
1,499,1.021987696,1.058388339,0.985193887
1,500,1.018083011,1.054418529,0.981357666
1,501,1.014193244,1.050463608,0.977536383
1,502,1.010318338,1.046523522,0.97372998
1,503,1.006458238,1.042598214,0.969938399
1,504,1.002612885,1.03868763,0.966161581
1,505,0.998782225,1.034791713,0.96239947
1,506,0.9949662,1.030910409,0.958652008
1,507,0.991164755,1.027043662,0.954919138
1,508,0.987377834,1.02319142,0.951200804
1,509,0.983605382,1.019353626,0.947496948
1,510,0.979847342,1.015530227,0.943807515
1,511,0.976103662,1.011721169,0.940132448
1,512,0.972374284,1.007926398,0.936471691
1,513,0.968659156,1.004145861,0.932825188
1,514,0.964958221,1.000379504,0.929192885
1,515,0.961271427,0.996627273,0.925574725
1,516,0.957598719,0.992889116,0.921970654
1,517,0.953940043,0.989164981,0.918380617
1,518,0.950295346,0.985454814,0.914804559
1,519,0.946664574,0.981758563,0.911242425
1,520,0.943047674,0.978076176,0.907694163
1,521,0.939444592,0.974407601,0.904159716
1,522,0.935855278,0.970752786,0.900639033
1,523,0.932279676,0.96711168,0.897132058
1,524,0.928717736,0.96348423,0.893638739
1,525,0.925169405,0.959870387,0.890159023
1,526,0.921634631,0.956270098,0.886692856
1,527,0.918113363,0.952683313,0.883240186
1,528,0.914605547,0.949109982,0.87980096
1,529,0.911111134,0.945550054,0.876375127
1,530,0.907630073,0.942003478,0.872962633
1,531,0.904162311,0.938470205,0.869563426
1,532,0.900707798,0.934950184,0.866177456
1,533,0.897266484,0.931443366,0.862804671
1,534,0.893838318,0.927949702,0.859445018
1,535,0.89042325,0.924469141,0.856098448
1,536,0.88702123,0.921001636,0.852764909
1,537,0.883632208,0.917547137,0.84944435
1,538,0.880256134,0.914105594,0.846136721
1,539,0.876892959,0.91067696,0.842841972
1,540,0.873542634,0.907261187,0.839560052
1,541,0.870205109,0.903858225,0.836290911
1,542,0.866880336,0.900468027,0.8330345
1,543,0.863568266,0.897090546,0.829790769
1,544,0.86026885,0.893725732,0.826559668
1,545,0.85698204,0.890373539,0.823341149
1,546,0.853707788,0.88703392,0.820135163
1,547,0.850446046,0.883706827,0.81694166
1,548,0.847196766,0.880392213,0.813760593
1,549,0.8439599,0.877090031,0.810591912
1,550,0.840735401,0.873800236,0.807435569
1,551,0.837523222,0.87052278,0.804291517
1,552,0.834323316,0.867257617,0.801159708
1,553,0.831135636,0.864004701,0.798040093
1,554,0.827960135,0.860763986,0.794932626
1,555,0.824796766,0.857535426,0.791837259
1,556,0.821645483,0.854318976,0.788753944
1,557,0.818506241,0.851114591,0.785682636
1,558,0.815378992,0.847922224,0.782623287
1,559,0.812263692,0.844741831,0.779575851
1,560,0.809160295,0.841573368,0.776540281
1,561,0.806068754,0.838416788,0.773516531
1,562,0.802989025,0.835272049,0.770504556
1,563,0.799921063,0.832139104,0.767504308
1,564,0.796864823,0.829017911,0.764515744
1,565,0.793820259,0.825908425,0.761538816
1,566,0.790787328,0.822810602,0.75857348
1,567,0.787765984,0.819724398,0.755619691
1,568,0.784756185,0.81664977,0.752677403
1,569,0.781757884,0.813586674,0.749746572
1,570,0.778771039,0.810535067,0.746827154
1,571,0.775795606,0.807494907,0.743919104
1,572,0.772831541,0.804466149,0.741022377
1,573,0.769878801,0.801448752,0.738136929
1,574,0.766937343,0.798442672,0.735262717
1,575,0.764007122,0.795447868,0.732399697
1,576,0.761088097,0.792464296,0.729547825
1,577,0.758180225,0.789491915,0.726707058
1,578,0.755283463,0.786530684,0.723877353
1,579,0.752397768,0.783580559,0.721058666
1,580,0.749523099,0.780641499,0.718250954
1,581,0.746659413,0.777713464,0.715454176
1,582,0.743806668,0.77479641,0.712668288
1,583,0.740964823,0.771890299,0.709893247
1,584,0.738133835,0.768995087,0.707129013
1,585,0.735313664,0.766110735,0.704375542
1,586,0.732504267,0.763237201,0.701632793
1,587,0.729705605,0.760374446,0.698900723
1,588,0.726917635,0.757522428,0.696179292
1,589,0.724140317,0.754681107,0.693468458
