time,group,median,q1,q3
610,3,7.04403,6.5169525,7.59151
614,3,7.03757,6.51093,7.58449
618,3,7.031095,6.5049175,7.5774725
622,3,7.02462,6.49894,7.57049
626,3,7.018165,6.4929675,7.56353
630,3,7.011695,6.4869775,7.5566
634,3,7.005225,6.481,7.54965
638,3,6.99876,6.47504,7.5427325
642,3,6.99234,6.46911,7.5357825
646,3,6.98589,6.46313,7.52889
650,3,6.9795,6.45715,7.522
654,3,6.97307,6.45117,7.51509
658,3,6.966655,6.44523,7.5081425
662,3,6.96024,6.43925,7.5012325
666,3,6.95388,6.43334,7.49431
670,3,6.94963,6.42753,7.51171
674,3,6.9432,6.42162,7.50485
678,3,6.936795,6.41573,7.49794
682,3,6.93044,6.4098675,7.49104
686,3,6.924075,6.4039775,7.48413
690,3,6.91766,6.39805,7.47722
694,3,6.911315,6.3921675,7.47041
698,3,6.90495,6.3862775,7.46352
702,3,6.89861,6.38037,7.45664
706,3,6.892265,6.3745,7.44982
710,3,6.88589,6.36866,7.44299
714,3,6.87958,6.3628175,7.4361625
718,3,6.87327,6.3569375,7.42937
722,3,6.86691,6.35108,7.42254
726,3,6.86059,6.3451875,7.4157
730,3,6.85426,6.3394,7.40889
734,3,6.847935,6.33359,7.4020425
738,3,6.84165,6.3277575,7.39516
742,3,6.835365,6.3218975,7.38837
746,3,6.82906,6.31611,7.3815725
750,3,6.82276,6.31033,7.37482
754,3,6.81651,6.3045075,7.36804
758,3,6.81022,6.29876,7.3612625
762,3,6.80397,6.2929975,7.35449
766,3,6.79771,6.2872275,7.34771
